GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
puzzle,com.construction.puzzle,PuzzleApplication,5,3,0,0,2,1,1,1,1,1
puzzle,com.construction.puzzle.controllers,PuzzleController,2,85,1,3,1,14,2,5,1,4
